CMDLINE python good_optimizing.py
MEM 9.328125 1686578412.2475
MEM 9.328125 1686578412.3518
MEM 9.328125 1686578412.4569
MEM 9.328125 1686578412.5610
MEM 9.328125 1686578412.6648
MEM 9.328125 1686578412.7686
MEM 9.328125 1686578412.8734
MEM 9.328125 1686578412.9775
MEM 9.328125 1686578413.0816
MEM 9.328125 1686578413.1857
MEM 9.328125 1686578413.2898
MEM 9.328125 1686578413.3941
MEM 9.328125 1686578413.5000
MEM 9.328125 1686578413.6041
MEM 9.328125 1686578413.7081
MEM 9.328125 1686578413.8132
MEM 9.328125 1686578413.9191
MEM 9.328125 1686578414.0230
MEM 9.328125 1686578414.1277
MEM 9.328125 1686578414.2308
MEM 9.328125 1686578414.3349
MEM 9.328125 1686578414.4400
MEM 9.328125 1686578414.5438
MEM 9.328125 1686578414.6488
MEM 9.328125 1686578414.7520
MEM 9.328125 1686578414.8570
MEM 9.328125 1686578414.9621
MEM 9.328125 1686578415.0662
MEM 9.328125 1686578415.1713
MEM 9.328125 1686578415.2764
MEM 9.328125 1686578415.3801
MEM 9.328125 1686578415.4844
MEM 9.328125 1686578415.5879
MEM 9.328125 1686578415.6918
MEM 9.328125 1686578415.7959
MEM 9.328125 1686578415.9006
MEM 9.328125 1686578416.0042
MEM 9.328125 1686578416.1082
MEM 9.328125 1686578416.2122
MEM 9.328125 1686578416.3163
MEM 9.328125 1686578416.4214
MEM 9.328125 1686578416.5263
MEM 9.328125 1686578416.6294
MEM 9.328125 1686578416.7335
MEM 9.328125 1686578416.8376
MEM 9.328125 1686578416.9427
MEM 9.328125 1686578417.0468
MEM 9.328125 1686578417.1509
MEM 9.328125 1686578417.2550
MEM 9.328125 1686578417.3598
MEM 9.328125 1686578417.4643
MEM 9.328125 1686578417.5684
MEM 9.328125 1686578417.6725
MEM 9.328125 1686578417.7775
MEM 9.328125 1686578417.8816
MEM 9.328125 1686578417.9847
MEM 9.328125 1686578418.0893
MEM 9.328125 1686578418.1930
MEM 9.328125 1686578418.2971
MEM 9.328125 1686578418.4022
MEM 9.328125 1686578418.5063
MEM 9.328125 1686578418.6114
MEM 9.328125 1686578418.7164
MEM 9.328125 1686578418.8215
MEM 9.328125 1686578418.9266
MEM 9.328125 1686578419.0307
MEM 9.328125 1686578419.1348
MEM 9.328125 1686578419.2389
MEM 9.328125 1686578419.3430
MEM 9.328125 1686578419.4481
MEM 9.328125 1686578419.5517
MEM 9.328125 1686578419.6558
MEM 9.328125 1686578419.7605
MEM 9.328125 1686578419.8646
MEM 9.328125 1686578419.9692
MEM 9.328125 1686578420.0733
MEM 9.328125 1686578420.1774
MEM 9.328125 1686578420.2815
MEM 9.328125 1686578420.3862
MEM 9.328125 1686578420.4913
MEM 9.328125 1686578420.5944
MEM 9.328125 1686578420.6985
MEM 9.328125 1686578420.8036
MEM 9.328125 1686578420.9073
MEM 9.328125 1686578421.0110
MEM 9.328125 1686578421.1152
MEM 9.328125 1686578421.2193
MEM 9.328125 1686578421.3244
MEM 9.328125 1686578421.4295
MEM 9.328125 1686578421.5326
MEM 9.328125 1686578421.6377
MEM 9.328125 1686578421.7407
MEM 9.328125 1686578421.8458
MEM 9.328125 1686578421.9501
MEM 9.328125 1686578422.0542
MEM 9.328125 1686578422.1590
MEM 9.328125 1686578422.2631
MEM 9.328125 1686578422.3671
MEM 9.328125 1686578422.4722
MEM 9.328125 1686578422.5773
MEM 9.328125 1686578422.6813
MEM 9.328125 1686578422.7855
MEM 9.328125 1686578422.8904
MEM 9.328125 1686578422.9945
MEM 9.328125 1686578423.0986
MEM 9.328125 1686578423.2027
MEM 9.328125 1686578423.3068
MEM 9.328125 1686578423.4109
MEM 9.328125 1686578423.5150
MEM 9.328125 1686578423.6191
MEM 9.328125 1686578423.7242
MEM 9.328125 1686578423.8273
MEM 9.328125 1686578423.9314
MEM 9.328125 1686578424.0365
MEM 9.328125 1686578424.1402
MEM 9.328125 1686578424.2453
MEM 9.328125 1686578424.3493
MEM 9.328125 1686578424.4534
MEM 9.328125 1686578424.5575
MEM 9.328125 1686578424.6616
MEM 9.328125 1686578424.7657
MEM 9.328125 1686578424.8704
MEM 9.328125 1686578424.9745
MEM 9.328125 1686578425.0786
MEM 9.328125 1686578425.1827
MEM 9.328125 1686578425.2868
MEM 9.328125 1686578425.3919
MEM 9.328125 1686578425.4960
MEM 9.328125 1686578425.6007
MEM 9.328125 1686578425.7045
MEM 9.328125 1686578425.8096
MEM 9.328125 1686578425.9142
MEM 9.328125 1686578426.0183
MEM 9.328125 1686578426.1234
MEM 9.328125 1686578426.2275
MEM 9.328125 1686578426.3316
MEM 9.328125 1686578426.4358
MEM 9.328125 1686578426.5400
MEM 9.328125 1686578426.6451
MEM 9.328125 1686578426.7493
MEM 9.328125 1686578426.8534
MEM 9.328125 1686578426.9583
MEM 9.328125 1686578427.0624
MEM 9.328125 1686578427.1655
MEM 9.328125 1686578427.2696
MEM 9.328125 1686578427.3737
MEM 9.328125 1686578427.4788
MEM 9.328125 1686578427.5819
MEM 9.328125 1686578427.6870
MEM 9.328125 1686578427.7921
MEM 9.328125 1686578427.8956
MEM 9.328125 1686578428.0013
MEM 9.328125 1686578428.1064
MEM 9.328125 1686578428.2115
MEM 9.328125 1686578428.3156
MEM 9.328125 1686578428.4203
MEM 9.328125 1686578428.5251
MEM 9.328125 1686578428.6291
MEM 9.328125 1686578428.7332
MEM 9.328125 1686578428.8383
MEM 9.328125 1686578428.9414
MEM 9.328125 1686578429.0465
MEM 9.328125 1686578429.1502
