CMDLINE python bad_optimizing.py
MEM 10776.609375 1686578293.9275
MEM 10811.906250 1686578294.0306
MEM 10846.929688 1686578294.1347
MEM 10882.335938 1686578294.2383
MEM 10917.226562 1686578294.3424
MEM 10952.503906 1686578294.4465
MEM 10987.609375 1686578294.5496
MEM 11022.714844 1686578294.6537
MEM 11058.023438 1686578294.7573
MEM 11093.492188 1686578294.8614
MEM 11128.933594 1686578294.9655
MEM 11138.992188 1686578295.0692
MEM 11138.992188 1686578295.1733
MEM 11138.992188 1686578295.2774
MEM 11138.992188 1686578295.3813
MEM 11139.023438 1686578295.4854
MEM 11139.023438 1686578295.5895
MEM 11139.023438 1686578295.6936
MEM 11139.023438 1686578295.7977
MEM 11139.023438 1686578295.9015
MEM 11139.023438 1686578296.0056
MEM 11139.023438 1686578296.1104
MEM 11139.023438 1686578296.2145
MEM 11139.023438 1686578296.3186
MEM 11139.023438 1686578296.4227
MEM 11139.023438 1686578296.5268
MEM 11139.023438 1686578296.6308
MEM 11139.023438 1686578296.7349
MEM 11139.023438 1686578296.8385
MEM 11139.023438 1686578296.9426
MEM 11139.023438 1686578297.0467
MEM 11139.023438 1686578297.1508
MEM 11139.023438 1686578297.2549
MEM 11139.023438 1686578297.3595
MEM 11139.023438 1686578297.4626
MEM 11139.023438 1686578297.5667
MEM 11139.023438 1686578297.6708
MEM 11139.023438 1686578297.7748
MEM 11139.023438 1686578297.8789
MEM 11139.023438 1686578297.9830
MEM 11139.023438 1686578298.0867
MEM 11139.023438 1686578298.1911
MEM 11139.023438 1686578298.2962
MEM 11139.023438 1686578298.3993
MEM 11139.023438 1686578298.5034
MEM 11139.023438 1686578298.6075
MEM 11139.023438 1686578298.7112
MEM 11139.023438 1686578298.8153
MEM 11139.023438 1686578298.9194
MEM 11139.023438 1686578299.0235
MEM 11139.023438 1686578299.1276
MEM 11139.023438 1686578299.2316
MEM 11139.023438 1686578299.3357
MEM 11139.023438 1686578299.4394
MEM 11139.023438 1686578299.5438
MEM 11139.023438 1686578299.6483
MEM 11139.023438 1686578299.7524
MEM 11139.023438 1686578299.8565
MEM 11139.023438 1686578299.9606
MEM 11139.023438 1686578300.0647
MEM 11139.023438 1686578300.1688
MEM 11139.023438 1686578300.2729
MEM 11139.023438 1686578300.3770
MEM 11139.023438 1686578300.4810
MEM 11139.023438 1686578300.5851
MEM 11139.023438 1686578300.6894
MEM 11139.023438 1686578300.7938
MEM 11139.023438 1686578300.8978
MEM 11139.023438 1686578301.0019
MEM 11139.023438 1686578301.1059
MEM 11139.023438 1686578301.2105
MEM 11139.023438 1686578301.3136
MEM 11139.023438 1686578301.4177
MEM 11139.023438 1686578301.5213
MEM 11139.023438 1686578301.6254
MEM 11139.023438 1686578301.7295
MEM 11139.023438 1686578301.8336
MEM 11139.023438 1686578301.9377
MEM 11139.023438 1686578302.0418
MEM 11139.023438 1686578302.1462
MEM 11139.023438 1686578302.2501
MEM 11139.023438 1686578302.3543
MEM 11139.023438 1686578302.4584
MEM 11139.023438 1686578302.5625
MEM 11139.023438 1686578302.6666
MEM 11139.023438 1686578302.7707
MEM 11139.023438 1686578302.8748
MEM 11139.023438 1686578302.9784
MEM 11139.023438 1686578303.0825
MEM 11139.023438 1686578303.1861
MEM 11139.023438 1686578303.2902
MEM 11139.023438 1686578303.3943
MEM 11139.023438 1686578303.4984
MEM 11139.023438 1686578303.6024
MEM 11139.023438 1686578303.7065
MEM 11139.023438 1686578303.8105
MEM 11139.023438 1686578303.9145
MEM 11139.023438 1686578304.0186
MEM 11139.023438 1686578304.1227
MEM 11139.023438 1686578304.2263
MEM 11139.023438 1686578304.3302
MEM 11139.023438 1686578304.4343
MEM 11139.023438 1686578304.5384
MEM 11139.023438 1686578304.6425
